cc_code,prov_th,prov_en,region,northeast,pop,sex_ratio,hh_size,pop_growth_pct,gpp_pc,log_gpp_pc
00,ทั่วประเทศ,NA,NA,NA,65809011,94.9092556572884,2.2277848999208194,-0.5706823967893127,NA,NA
10,กรุงเทพมหานคร,Bangkok,Bangkok and Vicinity,0,5422568,87.22423398713391,1.615610730440555,-2.964341788855207,675978.850965,13.423917068980964
11,จังหวัดสมุทรปราการ,Samut Prakan,Bangkok and Vicinity,0,1383924,89.76579640193067,1.7464768825190022,2.4007032295729314,320293.944841,12.676994430769788
12,จังหวัดนนทบุรี,Nonthaburi,Bangkok and Vicinity,0,1322280,85.898598463919825,1.7041469534835465,3.5664913510528695,214514.518811,12.276132701824132
13,จังหวัดปทุมธานี,Pathum Thani,Bangkok and Vicinity,0,1246062,89.23911739379369,1.7112381276745348,5.92054484313318,246463.229307,12.414968090169399
14,จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,0,822703,91.89750886359396,2.244804797921919,0.4413445197585686,428870.072282,12.968909290224733
15,จังหวัดอ่างทอง,Ang Thong,Central,0,266923,91.37694927406345,2.5084154833616825,-3.4929713938622653,135248.311418,11.814867711736152
16,จังหวัดลพบุรี,Lop Buri,Central,0,721560,98.43083548522824,2.339339787191275,-2.8761871944522177,152831.194887,11.93708928989739
17,จังหวัดสิงห์บุรี,Sing Buri,Central,0,198024,90.33265731778818,2.3947756681581813,-3.824223644717284,151749.628918,11.929987263567849
18,จังหวัดชัยนาท,Chai Nat,Central,0,311674,92.13991566591868,2.3203668823192203,-3.350006357042523,157159.455705,11.965016210348761
19,จังหวัดสระบุรี,Saraburi,Central,0,638477,96.0840135866394,2.05863367575271,-0.8311225979609427,344734.163256,12.750528857707016
20,จังหวัดชลบุรี,Chon Buri,East,0,1645985,94.24195971389763,1.3781175379195092,5.048232639919337,592335.429391,13.291828357107887
21,จังหวัดระยอง,Rayong,East,0,789730,95.75051371093876,1.328538864636167,6.500935910368377,942205.11873,13.755978277975839
22,จังหวัดจันทบุรี,Chanthaburi,East,0,535563,95.06157101700533,2.0153115557278163,7.468831632051476e-4,253521.73262,12.443204828595157
