"","SURVEY_ITERATION","GW_BELIEF","GW_KNOWLEDGE","FRACKING_EFFECT_ENVIRONMENT","SCIENCE_TRUST","DEMOG_EDU","DEMOG_POLPARTY"
"142","FALL2015",1,"2","98","2",2,1
"143","FALL2015",2,"2","2","4",2,4
"144","FALL2015",1,"1","1","3",3,1
"145","FALL2015",1,"3","2","1",3,1
"146","FALL2015",2,"2","3","4",3,2
"147","FALL2015",98,"3","98","2",2,2
"148","FALL2015",1,"2","98","2",4,2
"149","FALL2015",1,"2","3","2",4,4
"150","FALL2015",98,"3","98","2",2,4
"151","FALL2015",1,"1","3","1",5,2
"152","FALL2015",98,"2","3","1",3,2
"153","FALL2015",1,"2","1","2",2,99
"154","FALL2015",2,"2","2","2",3,3
"155","FALL2015",1,"1","2","2",2,1
"156","FALL2015",2,"1","2","3",4,1
"157","FALL2015",1,"1","2","1",4,1
"158","FALL2015",1,"2","3","2",5,1
"159","FALL2015",1,"1","2","1",4,99
"160","FALL2015",1,"2","98","3",1,2
"161","FALL2015",1,"2","2","2",4,1
"162","FALL2015",98,"2","98","3",2,2
"163","FALL2015",1,"1","2","1",5,1
"164","FALL2015",1,"2","98","3",4,2
"165","FALL2015",98,"2","2","2",5,4
"166","FALL2015",2,"1","3","3",3,4
"167","FALL2015",1,"1","2","1",3,1
"168","FALL2015",1,"2","2","2",2,3
"169","FALL2015",1,"2","2","1",5,1
"170","FALL2015",1,"2","98","2",2,99
"171","FALL2015",1,"1","2","1",3,1
"172","FALL2015",1,"2","98","2",1,4
"173","FALL2015",98,"2","2","2",1,1
"174","FALL2015",1,"2","3","2",3,4
"175","FALL2015",2,"1","98","3",4,4
"176","FALL2015",1,"1","2","2",2,4
"177","FALL2015",2,"2","2","98",4,4
"178","FALL2015",1,"1","2","1",5,1
"179","FALL2015",1,"2","2","1",4,4
"180","FALL2015",2,"2","3","4",4,2
"181","FALL2015",1,"2","2","1",4,2
"182","FALL2015",1,"3","98","2",2,4
"183","FALL2015",98,"2","2","98",2,1
"184","FALL2015",1,"2","2","1",3,2
"185","FALL2015",98,"3","98","4",2,1
"186","FALL2015",1,"1","2","4",3,2
"187","FALL2015",1,"2","2","2",3,2
"188","FALL2015",2,"2","2","3",2,4
"189","FALL2015",98,"2","98","1",2,4
"190","FALL2015",1,"2","98","2",4,4
"191","FALL2015",2,"3","2","4",3,3
"192","FALL2015",2,"2","98","2",5,2
"193","FALL2015",1,"1","2","1",4,1
"194","FALL2015",1,"1","98","98",3,99
"195","FALL2015",2,"3","2","3",3,1
"196","FALL2015",1,"2","2","2",4,1
"197","FALL2015",1,"2","2","2",4,1
"198","FALL2015",1,"2","2","2",3,4
"199","FALL2015",1,"1","2","2",3,1
"200","FALL2015",2,"1","3","2",4,1
"201","FALL2015",1,"2","2","3",3,4
"202","FALL2015",2,"2","3","4",2,4
"203","FALL2015",1,"2","98","98",4,99
"204","FALL2015",98,"2","98","2",2,2
"205","FALL2015",1,"2","1","2",4,2
"206","FALL2015",2,"1","3","98",4,4
"207","FALL2015",1,"1","2","1",4,1
"208","FALL2015",1,"2","2","2",4,1
"209","FALL2015",1,"2","2","2",4,3
"210","FALL2015",1,"1","2","1",3,1
"211","FALL2015",1,"1","2","1",4,99
"212","FALL2015",1,"2","3","2",2,1
"213","FALL2015",1,"2","3","2",2,1
"214","FALL2015",98,"2","2","1",2,1
"215","FALL2015",1,"98","2","98",5,1
"216","FALL2015",1,"1","1","1",5,1
"217","FALL2015",1,"2","1","2",1,4
"218","FALL2015",1,"1","3","2",3,4
"219","FALL2015",1,"98","98","1",2,1
"220","FALL2015",2,"3","2","4",3,2
"221","FALL2015",98,"2","2","1",3,4
"222","FALL2015",1,"2","2","2",4,4
"223","FALL2015",1,"2","98","2",2,4
"224","FALL2015",1,"1","2","1",4,2
"225","FALL2015",2,"1","1","98",3,2
"226","FALL2015",1,"3","2","2",2,1
"227","FALL2015",1,"2","1","1",3,99
"228","FALL2015",1,"2","3","2",2,4
"229","FALL2015",2,"2","1","3",2,2
"230","FALL2015",1,"2","98","2",2,99
"231","FALL2015",2,"2","3","4",4,2
"232","FALL2015",1,"1","1","1",4,1
"233","FALL2015",1,"2","2","2",4,4
"234","FALL2015",1,"3","98","2",3,1
"235","FALL2015",1,"2","1","1",4,2
"236","FALL2015",1,"2","2","2",4,2
"237","FALL2015",1,"2","2","2",4,2
"238","FALL2015",1,"2","2","2",3,2
"239","FALL2015",2,"1","3","98",5,2
"240","FALL2015",2,"1","3","3",4,2
"241","FALL2015",1,"1","98","1",5,4
"242","FALL2015",1,"2","2","1",5,1
"243","FALL2015",2,"2","3","4",3,2
"244","FALL2015",2,"2","3","4",4,2
"245","FALL2015",1,"1","2","1",5,99
"246","FALL2015",98,"2","2","4",1,1
"247","FALL2015",1,"2","2","2",4,2
"248","FALL2015",1,"2","2","1",4,4
"249","FALL2015",1,"2","1","3",3,1
"250","FALL2015",1,"2","2","2",4,4
"251","FALL2015",1,"1","2","1",3,1
"252","FALL2015",1,"2","2","3",2,1
"253","FALL2015",1,"2","2","3",2,4
"254","FALL2015",1,"2","2","1",3,4
"255","FALL2015",1,"2","98","1",2,2
"256","FALL2015",98,"2","2","2",3,1
"257","FALL2015",1,"4","98","4",5,2
"258","FALL2015",1,"1","3","2",3,1
"259","FALL2015",1,"2","1","2",4,2
"260","FALL2015",1,"1","2","1",3,3
"261","FALL2015",1,"2","2","1",3,1
"262","FALL2015",98,"2","2","4",1,1
"263","FALL2015",1,"1","3","2",4,4
"264","FALL2015",1,"3","1","2",3,2
"265","FALL2015",1,"2","2","3",2,4
"266","FALL2015",1,"1","3","1",5,2
"267","FALL2015",1,"2","2","3",2,1
"268","FALL2015",2,"2","3","3",5,4
"269","FALL2015",1,"1","2","98",4,99
"270","FALL2015",1,"2","2","3",4,1
"271","FALL2015",1,"2","2","2",4,4
"272","FALL2015",1,"2","1","4",1,98
"273","FALL2015",1,"1","2","1",5,1
"274","FALL2015",1,"2","1","2",3,2
"275","FALL2015",1,"2","2","1",3,1
"276","FALL2015",98,"2","98","1",2,3
"277","FALL2015",2,"1","2","4",3,2
"278","FALL2015",1,"2","1","1",4,2
"279","FALL2015",1,"2","2","2",2,1
"280","FALL2015",1,"1","98","2",4,3
"281","FALL2015",1,"1","2","1",3,3
"282","FALL2015",1,"2","1","1",3,4
"283","FALL2015",1,"2","2","1",5,4
"284","FALL2015",1,"1","2","1",4,4
"285","FALL2015",2,"2","2","3",3,4
"286","FALL2015",1,"2","98","2",4,4
"287","FALL2015",1,"2","1","2",5,4
"288","FALL2015",98,"2","98","98",3,1
"289","FALL2015",1,"2","2","3",3,4
"290","FALL2015",98,"2","98","98",2,98
"291","FALL2015",2,"3","3","4",3,2
"292","FALL2015",98,"2","2","1",2,98
"293","FALL2015",98,"2","2","2",4,99
"294","FALL2015",1,"2","2","2",1,1
"295","FALL2015",1,"2","2","1",2,1
"296","FALL2015",98,"1","3","2",3,2
"297","FALL2015",1,"1","2","1",4,1
"298","FALL2015",1,"2","2","1",4,1
"299","FALL2015",98,"2","2","4",1,2
"300","FALL2015",1,"2","2","1",4,2
"301","FALL2015",1,"2","2","2",3,2
"302","FALL2015",98,"2","2","3",2,1
"303","FALL2015",2,"1","3","2",5,2
"304","FALL2015",2,"2","2","2",2,2
"305","FALL2015",2,"2","98","2",4,4
"306","FALL2015",1,"98","98","98",3,98
"307","FALL2015",1,"2","98","1",2,98
"308","FALL2015",1,"2","2","2",4,1
"309","FALL2015",1,"1","98","4",4,2
"310","FALL2015",1,"1","98","98",3,4
"311","FALL2015",1,"1","3","1",4,1
"312","FALL2015",1,"1","2","2",3,2
"313","FALL2015",1,"2","1","2",3,1
"314","FALL2015",1,"2","3","2",4,2
"315","FALL2015",1,"98","98","98",1,2
"316","FALL2015",98,"2","2","3",3,2
"317","FALL2015",1,"2","1","2",2,2
"318","FALL2015",1,"1","98","1",5,4
"319","FALL2015",1,"2","2","3",3,2
"320","FALL2015",1,"2","3","2",2,1
"321","FALL2015",1,"1","2","1",4,1
"322","FALL2015",2,"2","2","2",4,2
"323","FALL2015",1,"1","99","2",99,99
"324","FALL2015",1,"2","98","2",5,2
"325","FALL2015",98,"2","2","2",3,1
"326","FALL2015",1,"2","1","2",3,2
"327","FALL2015",1,"1","2","1",5,1
"328","FALL2015",1,"2","98","2",2,1
"329","FALL2015",1,"1","2","3",5,3
"330","FALL2015",2,"2","98","3",3,4
"331","FALL2015",1,"2","3","2",4,1
"332","FALL2015",2,"2","3","4",3,2
"333","FALL2015",1,"1","2","1",1,1
"334","FALL2015",1,"1","2","98",3,2
"335","FALL2015",98,"3","1","98",99,99
"336","FALL2015",2,"3","98","3",5,2
"337","FALL2015",1,"3","1","3",2,2
"338","FALL2015",1,"2","2","1",5,4
"339","FALL2015",2,"3","98","3",3,2
"340","FALL2015",1,"2","3","2",4,98
"341","FALL2015",1,"2","98","2",2,4
"342","FALL2015",2,"1","2","2",3,2
"343","FALL2015",2,"2","2","2",1,4
"344","FALL2015",2,"3","2","1",5,4
"345","FALL2015",98,"2","1","3",1,1
"346","FALL2015",1,"2","98","2",4,2
"347","FALL2015",1,"1","2","1",5,4
"348","FALL2015",2,"3","2","4",3,4
"349","FALL2015",1,"1","2","2",5,98
"350","FALL2015",98,"2","2","3",4,4
"351","FALL2015",1,"2","2","3",4,2
"352","FALL2015",2,"2","2","3",2,2
"353","FALL2015",1,"98","98","98",98,98
"354","FALL2015",1,"2","1","2",4,2
"355","FALL2015",1,"3","3","2",5,2
"356","FALL2015",1,"2","98","1",5,4
"357","FALL2015",2,"1","2","2",4,98
"358","FALL2015",1,"2","2","1",5,1
"359","FALL2015",1,"2","1","1",4,1
"360","FALL2015",1,"2","2","2",4,2
"361","FALL2015",2,"1","98","2",2,4
"362","FALL2015",1,"2","2","2",3,1
"363","FALL2015",98,"98","98","98",2,98
"364","FALL2015",1,"2","2","3",3,1
"365","FALL2015",1,"2","2","1",4,1
"366","FALL2015",98,"3","98","98",3,98
"367","FALL2015",1,"2","2","2",4,3
"368","FALL2015",1,"2","2","2",3,1
"369","FALL2015",98,"2","98","2",4,1
"370","FALL2015",1,"98","98","98",98,98
"371","FALL2015",1,"1","2","1",5,4
"372","FALL2015",1,"2","98","4",1,1
"373","FALL2015",1,"2","1","2",4,1
"374","FALL2015",1,"1","2","2",4,2
"375","FALL2015",1,"2","2","2",4,1
"376","FALL2015",1,"2","3","1",2,1
"377","FALL2015",2,"3","2","2",4,4
"378","FALL2015",1,"2","98","2",3,2
"379","FALL2015",1,"2","2","4",2,1
"380","FALL2015",2,"2","2","2",3,3
"381","FALL2015",1,"2","2","4",2,1
"382","FALL2015",2,"1","3","4",3,2
"383","FALL2015",98,"2","3","2",4,4
"384","FALL2015",98,"2","98","98",2,2
"385","FALL2015",2,"1","3","3",4,4
"386","FALL2015",1,"2","98","2",5,1
"387","FALL2015",1,"4","98","98",4,2
"388","FALL2015",1,"2","3","2",4,1
"389","FALL2015",1,"4","3","98",1,1
"390","FALL2015",1,"1","1","4",5,1
"391","FALL2015",1,"2","98","2",5,4
"392","FALL2015",1,"1","2","1",5,1
"393","FALL2015",1,"2","1","1",4,4
"394","FALL2015",2,"2","3","2",5,3
"395","FALL2015",1,"2","98","98",99,4
"396","FALL2015",1,"1","2","4",3,99
"397","FALL2015",1,"2","1","2",3,1
"398","FALL2015",1,"2","2","3",2,2
"399","FALL2015",1,"2","98","4",3,4
"400","FALL2015",2,"2","3","2",3,1
"401","FALL2015",1,"1","2","1",3,1
"402","FALL2015",2,"1","3","4",4,2
"403","FALL2015",98,"2","98","4",3,98
"404","FALL2015",1,"3","2","1",5,1
"405","FALL2015",1,"2","2","2",4,98
"406","FALL2015",98,"3","98","98",3,4
"407","FALL2015",1,"2","98","2",1,2
"408","FALL2015",1,"2","2","2",2,4
"409","FALL2015",1,"3","98","2",2,99
"410","FALL2015",1,"4","98","98",3,2
"411","FALL2015",1,"2","98","3",4,98
"412","FALL2015",98,"2","1","2",3,2
"413","FALL2015",1,"2","2","2",3,1
"414","FALL2015",98,"2","2","98",4,2
"415","FALL2015",1,"2","2","2",5,4
"416","FALL2015",1,"2","2","1",5,1
"417","FALL2015",1,"1","2","1",2,1
"418","FALL2015",98,"2","98","98",2,2
"419","FALL2015",1,"2","98","98",2,98
"420","FALL2015",1,"1","98","1",3,1
"421","FALL2015",98,"2","3","1",4,2
"422","FALL2015",1,"1","2","2",5,4
"423","FALL2015",1,"1","1","3",3,4
"424","FALL2015",2,"2","2","3",5,2
"425","FALL2015",2,"98","98","98",2,99
"426","FALL2015",1,"1","2","3",3,1
"427","FALL2015",98,"1","2","1",5,4
"428","FALL2015",1,"2","2","1",4,1
"429","FALL2015",2,"2","98","3",3,2
"430","FALL2015",1,"2","98","2",3,4
"431","FALL2015",2,"1","2","4",2,1
"432","FALL2015",1,"2","2","2",4,2
"433","FALL2015",1,"2","2","4",3,1
"434","FALL2015",1,"2","2","4",4,4
"435","FALL2015",1,"1","3","2",4,4
"436","FALL2015",1,"2","2","2",2,4
"437","FALL2015",2,"3","3","4",4,2
"438","FALL2015",2,"1","3","3",4,4
"439","FALL2015",1,"2","2","1",2,4
"440","FALL2015",2,"1","3","3",3,4
"441","FALL2015",2,"2","98","3",2,4
"442","FALL2015",1,"2","98","1",5,2
"443","FALL2015",1,"1","3","3",4,2
"444","FALL2015",98,"2","2","2",3,4
"445","FALL2015",2,"2","3","4",3,2
"446","FALL2015",1,"2","2","1",4,1
"447","FALL2015",1,"2","2","2",4,1
"448","FALL2015",1,"2","98","2",2,2
