"","SURVEY_ITERATION","GW_BELIEF","GW_KNOWLEDGE","FRACKING_EFFECT_ENVIRONMENT","SCIENCE_TRUST","DEMOG_EDU","DEMOG_POLPARTY"
"624","FALL2015",2,"1","3","2",5,1
"625","FALL2015",1,"1","2","2",4,3
"626","FALL2015",1,"2","2","3",3,4
"627","FALL2015",1,"2","2","2",4,4
"628","FALL2015",1,"2","3","2",5,1
"629","FALL2015",1,"2","2","3",2,1
"630","FALL2015",1,"2","98","3",1,1
"631","FALL2015",1,"1","2","2",4,2
"632","FALL2015",98,"2","98","2",5,2
"633","FALL2015",2,"2","3","4",3,4
"634","FALL2015",1,"2","2","1",4,1
"635","FALL2015",1,"1","98","1",2,2
"636","FALL2015",1,"1","98","2",3,4
"637","FALL2015",1,"2","2","1",3,4
"638","FALL2015",1,"2","2","2",5,4
"639","FALL2015",1,"1","2","2",5,4
"640","FALL2015",2,"1","3","1",5,4
"641","FALL2015",98,"2","2","2",4,4
"642","FALL2015",98,"2","2","2",4,2
"643","FALL2015",1,"1","2","1",4,4
"644","FALL2015",1,"1","98","98",1,1
"645","FALL2015",1,"2","2","2",3,4
"646","FALL2015",1,"2","1","2",3,2
"647","FALL2015",2,"1","3","2",99,99
"648","FALL2015",2,"3","2","1",4,2
"649","FALL2015",1,"2","2","1",3,2
"650","FALL2015",98,"2","3","2",5,2
"651","FALL2015",1,"2","2","2",4,4
"652","FALL2015",2,"2","98","3",5,3
"653","FALL2015",2,"2","98","3",2,4
"654","FALL2015",1,"1","2","1",4,1
"655","FALL2015",2,"2","2","3",2,2
"656","FALL2015",1,"1","2","2",4,4
"657","FALL2015",2,"3","2","4",3,1
"658","FALL2015",1,"1","3","2",4,4
"659","FALL2015",2,"2","2","1",5,4
"660","FALL2015",2,"2","2","3",3,2
"661","FALL2015",1,"2","98","2",2,4
"662","FALL2015",1,"2","98","2",3,2
"663","FALL2015",1,"2","98","3",4,1
"664","FALL2015",1,"2","2","1",2,2
"665","FALL2015",1,"2","2","2",4,2
"666","FALL2015",1,"2","2","3",4,1
"667","FALL2015",1,"1","2","2",5,4
"668","FALL2015",1,"2","98","1",4,1
"669","FALL2015",2,"2","2","98",3,4
"670","FALL2015",1,"3","2","2",3,1
"671","FALL2015",2,"1","2","3",3,3
"672","FALL2015",1,"2","1","1",3,1
"673","FALL2015",1,"1","98","1",3,1
"674","FALL2015",1,"4","98","3",3,2
"675","FALL2015",1,"1","2","1",5,1
"676","FALL2015",1,"1","2","2",5,4
"677","FALL2015",1,"3","2","1",2,4
"678","FALL2015",98,"2","98","2",3,4
"679","FALL2015",1,"2","98","2",4,2
"680","FALL2015",1,"2","2","1",3,4
"681","FALL2015",98,"3","98","3",2,2
"682","FALL2015",98,"3","3","98",3,1
"683","FALL2015",1,"3","3","1",4,1
"684","FALL2015",2,"2","2","2",2,1
"685","FALL2015",98,"2","98","98",4,1
"686","FALL2015",1,"3","98","3",4,2
"687","FALL2015",1,"2","98","2",3,1
"688","FALL2015",1,"3","3","3",3,4
"689","FALL2015",98,"1","98","2",5,99
"690","FALL2015",98,"4","98","2",2,4
"691","FALL2015",2,"2","2","2",4,1
"692","FALL2015",1,"2","98","2",3,2
"693","FALL2015",1,"2","2","2",4,4
"694","FALL2015",98,"2","2","99",2,4
"695","FALL2015",1,"2","2","3",2,2
"696","FALL2015",1,"1","2","2",3,4
"697","FALL2015",98,"2","2","3",3,4
"698","FALL2015",1,"3","98","3",2,4
"699","FALL2015",1,"1","98","4",5,1
"700","FALL2015",2,"2","2","3",4,2
"701","FALL2015",1,"2","1","2",2,2
"702","FALL2015",1,"1","2","4",4,2
"703","FALL2015",1,"3","3","2",2,1
"704","FALL2015",2,"1","3","4",3,4
"705","FALL2015",1,"1","2","1",3,99
"706","FALL2015",1,"2","1","2",4,2
"707","FALL2015",1,"2","98","2",3,4
"708","FALL2015",98,"2","2","98",2,1
"709","FALL2015",1,"1","2","2",3,2
"710","FALL2015",2,"1","3","4",2,2
"711","FALL2015",98,"4","98","98",2,2
"712","FALL2015",98,"2","98","98",3,2
"713","FALL2015",1,"2","3","2",3,2
"714","FALL2015",2,"2","2","2",4,2
"715","FALL2015",98,"2","3","3",2,2
"716","FALL2015",1,"2","3","2",4,4
"717","FALL2015",1,"3","2","2",3,2
"718","FALL2015",2,"3","2","3",2,1
"719","FALL2015",98,"1","98","98",3,4
"720","FALL2015",1,"2","98","2",5,3
"721","FALL2015",1,"1","2","1",3,4
"722","FALL2015",1,"2","2","1",5,4
"723","FALL2015",1,"3","1","2",4,98
"724","FALL2015",1,"2","2","2",2,98
"725","FALL2015",1,"1","1","99",5,2
"726","FALL2015",2,"1","3","4",3,4
"727","FALL2015",2,"2","98","3",2,1
"728","FALL2015",1,"2","2","1",4,4
"729","FALL2015",99,"3","2","2",3,1
"730","FALL2015",1,"4","98","2",1,1
"731","FALL2015",1,"1","98","2",5,99
"732","FALL2015",1,"2","2","2",2,2
"733","FALL2015",1,"2","1","2",3,1
"734","FALL2015",2,"2","2","4",3,1
"735","FALL2015",1,"2","2","1",3,99
"736","FALL2015",2,"1","3","3",4,2
"737","FALL2015",98,"3","98","2",5,99
"738","FALL2015",2,"2","98","2",4,2
"739","FALL2015",1,"2","2","2",5,4
"740","FALL2015",98,"2","2","2",3,2
"741","FALL2015",1,"2","98","1",4,1
"742","FALL2015",1,"1","98","1",4,4
"743","FALL2015",1,"1","2","1",5,1
"744","FALL2015",1,"3","2","2",3,1
"745","FALL2015",1,"2","2","2",3,4
"746","FALL2015",1,"3","98","4",2,3
"747","FALL2015",1,"2","2","2",4,1
"748","FALL2015",1,"2","2","1",3,1
"749","FALL2015",1,"2","98","1",5,2
"750","FALL2015",1,"1","2","2",4,98
"751","FALL2015",1,"2","2","1",5,1
"752","FALL2015",1,"2","1","2",2,98
"753","FALL2015",98,"2","2","98",4,4
"754","FALL2015",1,"2","2","1",4,1
"755","FALL2015",98,"2","98","1",5,4
"756","FALL2015",1,"2","3","3",5,4
"757","FALL2015",98,"2","2","2",1,1
"758","FALL2015",2,"2","2","1",4,1
"759","FALL2015",1,"2","98","2",4,1
"760","FALL2015",2,"3","3","2",2,2
"761","FALL2015",1,"2","1","2",3,2
"762","FALL2015",1,"2","2","2",4,1
"763","FALL2015",1,"2","98","2",2,1
"764","FALL2015",1,"1","2","1",5,1
"765","FALL2015",2,"2","2","98",4,2
"766","FALL2015",1,"2","1","2",2,4
"767","FALL2015",1,"2","98","1",2,1
"768","FALL2015",1,"1","2","2",4,2
"769","FALL2015",1,"1","2","1",4,4
"770","FALL2015",1,"2","98","2",4,2
"771","FALL2015",1,"1","2","2",3,1
"772","FALL2015",98,"2","2","4",2,1
"773","FALL2015",1,"2","1","2",5,2
"774","FALL2015",98,"2","2","1",4,2
"775","FALL2015",1,"1","1","2",2,1
"776","FALL2015",1,"2","2","2",3,1
"777","FALL2015",1,"2","2","2",3,4
"778","FALL2015",98,"2","98","98",4,1
"779","FALL2015",1,"1","2","1",4,1
"780","FALL2015",2,"2","2","3",4,2
"781","FALL2015",1,"2","3","2",4,1
"782","FALL2015",1,"3","3","1",2,4
"783","FALL2015",1,"1","98","2",2,1
"784","FALL2015",1,"1","2","1",5,1
"785","FALL2015",1,"2","1","1",4,1
"786","FALL2015",2,"2","2","1",3,4
"787","FALL2015",1,"2","2","2",4,4
"788","FALL2015",1,"2","98","3",5,4
"789","FALL2015",1,"2","2","1",3,4
"790","FALL2015",1,"2","1","1",2,4
"791","FALL2015",1,"2","1","2",2,2
"792","FALL2015",98,"3","2","98",2,4
"793","FALL2015",98,"2","2","2",2,1
"794","FALL2015",1,"1","2","2",4,2
"795","FALL2015",1,"2","1","2",3,1
"796","FALL2015",2,"1","1","4",5,2
"797","FALL2015",1,"1","98","4",5,2
"798","FALL2015",1,"2","2","2",3,4
"799","FALL2015",1,"2","2","2",4,4
"800","FALL2015",1,"2","2","1",3,4
"801","FALL2015",98,"2","3","3",3,4
"802","FALL2015",1,"2","2","1",2,4
"803","FALL2015",1,"1","1","2",4,2
"804","FALL2015",2,"1","3","4",5,2
"805","FALL2015",2,"2","2","3",3,1
"806","FALL2015",98,"2","1","2",2,99
"807","FALL2015",1,"4","98","4",4,4
"808","FALL2015",1,"2","2","2",2,4
"809","FALL2015",1,"1","3","2",5,4
"810","FALL2015",1,"2","2","1",4,4
"811","FALL2015",2,"2","98","4",2,2
"812","FALL2015",1,"2","2","2",4,4
"813","FALL2015",1,"1","2","1",5,1
"814","FALL2015",1,"2","98","1",5,1
"815","FALL2015",1,"2","2","1",4,98
"816","FALL2015",1,"3","2","1",3,4
"817","FALL2015",1,"2","2","1",5,4
"818","FALL2015",1,"2","3","3",4,3
"819","FALL2015",1,"2","2","2",5,4
"820","FALL2015",2,"2","1","4",3,2
"821","FALL2015",1,"2","2","2",5,3
"822","FALL2015",1,"3","98","2",3,2
"823","FALL2015",1,"2","2","2",4,2
"824","FALL2015",98,"1","98","2",5,2
"825","FALL2015",98,"3","98","3",2,1
"826","FALL2015",1,"2","2","2",3,4
"827","FALL2015",1,"2","2","1",3,4
"828","FALL2015",1,"2","1","2",5,98
"829","FALL2015",1,"1","2","1",3,1
"830","FALL2015",1,"2","98","2",5,2
"831","FALL2015",1,"4","98","98",1,3
"832","FALL2015",1,"1","1","2",4,1
"833","FALL2015",2,"1","3","2",3,2
"834","FALL2015",1,"2","2","3",3,4
"835","FALL2015",1,"1","2","4",3,4
"836","FALL2015",1,"3","98","1",1,4
"837","FALL2015",2,"2","2","1",5,2
"838","FALL2015",2,"2","1","4",4,3
"839","FALL2015",1,"2","2","1",4,1
"840","FALL2015",1,"2","2","3",3,99
"841","FALL2015",1,"2","98","4",2,4
"842","FALL2015",98,"2","2","98",4,4
"843","FALL2015",1,"2","98","3",2,1
"844","FALL2015",1,"2","2","1",2,1
"845","FALL2015",1,"2","98","3",3,4
"846","FALL2015",2,"2","2","2",3,1
"847","FALL2015",1,"2","2","3",2,1
"848","FALL2015",2,"1","2","4",2,1
"849","FALL2015",1,"2","2","1",3,4
"850","FALL2015",98,"2","2","4",3,1
"851","FALL2015",98,"2","98","2",4,1
"852","FALL2015",2,"2","1","99",4,2
"853","FALL2015",2,"2","2","2",4,2
"854","FALL2015",1,"1","2","1",4,4
"855","FALL2015",1,"1","2","1",4,1
"856","FALL2015",1,"3","2","2",2,1
"857","FALL2015",1,"1","2","1",5,1
"858","FALL2015",1,"2","3","2",3,4
"859","FALL2015",1,"1","2","1",5,1
"860","FALL2015",2,"2","2","2",4,1
"861","FALL2015",1,"2","1","2",3,2
"862","FALL2015",1,"2","98","1",5,1
"863","FALL2015",1,"1","2","1",5,4
"864","FALL2015",1,"1","2","2",4,1
"865","FALL2015",2,"2","98","3",2,4
"866","FALL2015",1,"1","98","2",3,1
"867","FALL2015",1,"2","2","1",3,2
"868","FALL2015",1,"2","2","1",4,1
"869","FALL2015",1,"2","2","4",2,1
"870","FALL2015",1,"2","2","2",2,1
"871","FALL2015",1,"1","98","2",4,4
"872","FALL2015",1,"2","98","2",4,99
"873","FALL2015",98,"2","98","2",4,4
"874","FALL2015",1,"2","1","2",3,4
"875","FALL2015",1,"1","2","2",4,99
"876","FALL2015",2,"2","2","1",2,2
"877","FALL2015",1,"2","2","2",3,4
"878","FALL2015",98,"2","2","1",5,4
"879","FALL2015",1,"2","2","1",3,2
"880","FALL2015",1,"2","2","1",2,1
"881","FALL2015",1,"1","2","2",4,3
"882","FALL2015",2,"3","98","3",1,4
"883","FALL2015",1,"3","98","1",1,1
"884","FALL2015",1,"1","2","1",5,1
"885","FALL2015",1,"2","2","2",3,4
"886","FALL2015",2,"1","3","2",2,2
"887","FALL2015",1,"2","3","2",2,1
"888","FALL2015",1,"1","2","2",3,1
"889","FALL2015",1,"2","2","2",5,1
"890","FALL2015",98,"2","98","3",5,2
"891","FALL2015",2,"3","3","2",3,4
"892","FALL2015",2,"3","2","3",4,2
"893","FALL2015",1,"3","2","1",2,4
"894","FALL2015",2,"2","98","1",2,1
"895","FALL2015",2,"2","98","1",4,1
"896","FALL2015",1,"2","3","2",3,98
"897","FALL2015",1,"2","3","1",5,2
"898","FALL2015",2,"2","2","3",3,1
"899","FALL2015",1,"2","98","1",3,3
"900","FALL2015",1,"4","1","4",5,4
"901","FALL2015",1,"1","2","2",5,99
"902","FALL2015",1,"1","2","2",5,2
"903","FALL2015",1,"2","2","2",4,4
"904","FALL2015",1,"2","2","2",2,4
"905","FALL2015",98,"2","2","3",2,4
"906","FALL2015",2,"1","1","2",5,2
"907","FALL2015",1,"1","2","2",3,1
"908","FALL2015",1,"1","2","2",4,1
"909","FALL2015",2,"1","98","2",4,99
"910","FALL2015",1,"2","3","2",4,1
"911","FALL2015",98,"3","2","2",4,4
